Trick Name,"Alternate
Caveman Mount,,mount,"rider runs holding uni saddle or saddle handle in one hand, and tire in other hand, jumps and lets go of wheel, lands on uni (can also be caught in air)",,,,,Jump Mount,,Trey Haun,
Clapper Grind,The Clapper,grind,grind where rider claps hands during grind,,,https://www.youtube.com/watch?v=OZ6P-qRUPuU,3:34,,,Noli Ergas,
Coasting,,coast,"Riding forward with no feet on the pedals, generally with one or both feet on the frame",,,,,,,Noli Ergas,
Corona Flip,in-in antiside flip,"spin, flip, wrap",a seat-in to seat-in 180 antiside with a flip,,,,,,,Trey Haun,
Corona Double Flip,in-in antiside double,"spin, flip, wrap",a seat-in to seat-in 180 antiside with a double flip,Trey Haun?,2024,https://youtu.be/6WT4OeepVQA?feature=shared&t=39,0:39,corona flip,,Trey Haun,"NOTE: people have landed antiside double flips before (Krisz Kovacs landed an antiside triple flip in the This Fire video), but not in the corona flip style (seat-in to seat-in)"
Crank Flip,Flip,flip,"feet leave pedals, wheel does 1 rotation forwards, feet land on pedals",Mike Clark,,https://vimeo.com/104804819,,No footer,,Emile Mathieu,One of the foundational tricks
Crank grab,,basic,Jumping up to tire on an obstacle from the crank,,,,,,,Emile Mathieu,
Crank Idle,,basic,idle with one foot on a pedal and the other foot on the crank on the same side of the unicycle,,,,,,,Noli Ergas,
Crank Stall,,basic,landing on an object with the crank and spending a moment in this position,,,,,,,,
Cross Jumping,X-hopping,,Jumping with crossed legs,,,,,,,August Agerskov,
Cross Leg Riding,"X-riding, X-leg riding",ride,Riding with crossed legs,,,,,Cross Jumping,,August Agerskov,
Crossover flip,Hopscotch flip,flip,"jump up, bring front foot behind/over the tire, kick back pedal with front foot to initiate back crank flip, land back on pedals",,,https://youtu.be/LA3gGHQ-I8M?si=3Ohe4niHHGf0LS4P&t=62,1:02,,,Trey Haun,
Cross hick side under flip,Scotty flip?,"spin, flip, wrap","jump up, bring front foot behind/over the tire, kick back pedal with front foot to initiate back crank flip, then 180 side around front leg",Scott Julian,2024,https://youtu.be/1ZUtTN5lwyQ?feature=shared&t=91,,crossover flip,,Trey Haun,"from Scott Julian's video ""Too Close To See"""
Cross hick side under double flip,Scotty Double flip?,"spin, flip, wrap",scotty flip with an extra flip,Scott Julian,2024,https://youtu.be/1ZUtTN5lwyQ?feature=shared&t=98,,cross hick side under flip,,Trey Haun,"from Scott Julian's video ""Too Close To See"""
Crossing dolphins,ivarial,handstepover,"Both feet doing dolphins but in oposite directions through the ""ring"" ",Ivar Christenson,2017,https://youtu.be/xAYNzh54yhM,0:45,,,Ivar Christenson,"Name ivarial invented by Emile Themelin, third to land the trick, second was Scotty"
Daiki Walk,"Daiki, seat on side stand up",walk,stand up wheel walk seat on side (pushing foot is closer to the saddle),*not Daiki Izumida*,,,,stand up wheel walk,,Noli Ergas,"*NOT invented by Daiki Izumida, but the trick has been named after him by Western unicyclists: http://www.unicyclist.com/forums/showthread.php?t=63996"
Dan Heaton,,handstepover,,,,,,,,,
Decade,,"wrap, varial",Backside 360 body varial,Kelly Hickman,,,,360 body varial,,Emile Mathieu,
Decade double flip,,"wrap, varial, flip",Decade + double flip,Emile Mathieu,2013,,,Decade flip,Beta double flip,Emile Mathieu,
Decade flip,,"wrap, varial, flip",Decade + Flip,Emile Mathieu,2011,https://www.youtube.com/watch?v=1STSulu3xlY,0:00,Decade,Beta flip,Noli Ergas,
Decade secret side,,"wrap, varial",360 hoptwist + 360 secret side in opposite direction,Scott Julian?,,https://youtu.be/1ZUtTN5lwyQ?si=svYr85fzrMOBNu5u&t=200,3:21,360 secret side,,Trey Haun,
Dolphin flip,,"flip, wrap","hold the front and back of the saddle. While doing a crankflip, pull one leg between your two arms, over the saddle, then land back on pedals/cranks",Casey Pappalardo,,,,side flip,,Trey Haun,
Dolphin Double Flip,,"flip, wrap",,Casey Pappalardo,,https://www.youtube.com/watch?v=-KfE6kjHYvg,,dolphin flip,,Trey Haun,
donkey hick,,"spin, flip",Donkey kick + 180 unispin,Jerad Glatt,,https://www.dailymotion.com/video/xf1z4,1:33,donkey kick,,Emile Mathieu,
donkey kick,,flip,"SIF, one foot on the frame, one foot on the tire, kicking the tire to make the wheel rotate 1 revolution backward, land back to pedals",,,,,,,Emile Mathieu,
donkey trey,,"spin, flip",Donkey kick + 360 unispin,,,,,donkey hick,,Emile Mathieu,
Double Back Flip,,flip,"feet leave pedals, wheel does 2 rotations backwards, feet land on pedals",,,https://youtu.be/aCg3z_Yk3Mc?si=ktDRosd6itTywFUT&t=121,2:01,back crank flip,,Noli Ergas,
Double Flip,Double,flip,Crank flip with 2 rotations,Shaun Johanneson,2004,https://vimeo.com/104804819,,crank flip,,Noli Ergas,
Double Flip Over Rail,,"flip, grind","grind on a rail to double crank flip occuring over the rail, rider lands on other side of rail",Noli,2018,,,double flip,,Noli Ergas,
Double Leg Wrap,,wrap,"one foot leaves the pedal/crank/tire, wraps around seat twice, and lands back on pedal/crank/tire",,,,,leg wrap,,Trey Haun,
Double Rev,,rev,"wheel leaves ground, feet pedal the wheel through two revolutions, wheel lands on ground",,,https://youtu.be/6GRv_hth4wQ?si=hULAfRTuJFGb5EUC&t=15,0:15,rev,,Noli Ergas,
Double Swivel Grind,,grind,pedal grind where wheel does 2 full revolutions during grind,Pele Schramm,,,,,,Noli Ergas,
Early Flip,,flip,"Walk the Dog except before the wheel rotation is completed, tire leaves ground and feet land on pedals in the air",Lars Anderson,,https://www.instagram.com/p/BL-2XGYB30d/,,walk the dog,,Noli Ergas,"related, yet different, trick = Pressure Flip"
Fakie,,prefix,indicates trick begins with unicycle traveling backward,,,,,,,Noli Ergas,
Fakie Change,,"flip, varial",sex change while riding backwards,,,http://www.relentlessbyfate.com/tricks.php,,sex change,,Noli Ergas,
Fakie Flip,,flip,back flip while riding backwards,,,,,back crank flip,,Noli Ergas,"This definition has mostly reached consensus, but some people believe this should be a forward crank flip while riding backwards, and that usage may still persist"
Fifth antiside flip,fifth antiside,"spin, flip, wrap",540 antiside spin + flip,,,https://youtu.be/0nEYofjhKkI?si=tBdMk607MF82DtUT&t=167,2:47,fifth flip,,Trey Haun,
Fifth antiside double flip,fifth antiside double,"spin, flip, wrap",540 antiside spin + double flip,Krisz Kovacs?,,https://youtu.be/MABOXSO97XE?si=NntipQwce9fkNlcF&t=130,2:10,fifth antiside flip,,Trey Haun,Has anyone landed this beside Krisz Kovacs and Eli Brill?
Fifth Double Flip,fifth double,"spin, flip",540 unispin + double flip,Adrien Delecroix,2008,,,fifth flip,,Adrien Delecroix,
Fifth Flip,Fifth,"spin, flip",540 unispin + crank flip,,,http://www.relentlessbyfate.com/tricks.php,,"540 unispin, crank flip",,Noli Ergas,
Fifth kick flip,,"spin, flip",fifth flip but the wheel rotation is produced by your foot kicking the tire,Christian Brink,2012,https://www.youtube.com/watch?v=8qwK6sFXyh8,,trey kick flip,,Trey Haun,
Fifth Quad Flip,fifth quad,"spin, flip",540 unispin + quad flip,Colby Thomas,,,,fifth triple flip,,Noli Ergas,
Fifth Triple Flip,Friple,"spin, flip",540 unispin + triple flip,Colby Thomas,,,,fifth double flip,,Colby Thomas,
Fifth middle flip,,,,,,,,,,,
Fifth secret side flip,,"spin, flip, wrap",540 secret side spin + crank flip,,0:22,https://youtu.be/eYGtxf5dkLI?feature=shared&t=22,,540 secret side spin,,Trey Haun,
Finger Backflip,,flip,"holding seat in front, jump off pedals, grab front pedal and pull it backwards to initiate backflip, then land back on pedals",Pierre Sturney,2025,https://www.youtube.com/shorts/PEkAXJc97q4,,,,Trey Haun,
Finger flip,Over Forward Finger Flip,"flip, pedal push",crankflip where you flip the wheel using your hand by pushing the front pedal forward,Eli Brill,,,,,,Jelle Dillen,
Finger inflip,Over Forward Finger Inflip,"spin, flip, pedal push","crankflip where you flip the wheel using your hand by pushing the front pedal forward, followed by an inspin",Jelle Dillen,,,,finger flip,,Jelle Dillen,
Firecracker,,basic,riding down stairs quickly,,,,,,,Noli Ergas,"Term comes from skateboarding, where the sound of the skateboard wheels on the stairs sounds like a firecracker"
Flag flip,,"spin, flip, jam",270 unispin + crankflip to foot jam,,,,,flag spin,crank flip,Emile Mathieu,
Flag spin,,"spin, jam",270 unispin to footjam,,,,,270 unispin,,,
Flip Over Rail,,"flip, grind","grind on a rail to crank flip occuring over the rail, rider lands on other side of rail",,,,,crank flip,,Noli Ergas,
Flip Under Flip,,flip,crank flip + under flip,,,,,"crank flip, under flip",,Noli Ergas,
Flip under fulloutflip,,flip,crankflip + under fulloutflip,Waylon Batt,,https://youtu.be/yjtbRcjpklY?si=eBYbCF2P_JXxGKzv&t=209,3:29,Flip under outflip,,Loïc Miara,
Flip under outflip,,flip,crankflip + under outflip,,,,,Flip Under Flip,,Jelle Dillen,
foot plant,no comply,basic,When a rider jumps off the unicycle takes a step on his foot and then jump back on the unicycle,,,,,,,Emile Mathieu,
Forward scuff coast,,coast,One footed seat in front forward coasting,,,,,Back scuff coast,,Emile Mathieu,
Forward scuff glide,,glide,One footed seat in front forward gliding,,,,,,,Ivar Christenson,
Frame balance,Frame stall,"basic, position, balance",saddle and tyre touching ground (no pedals touching ground!!) standing on the frame,,,https://youtu.be/0b-Ggx_YnZg,0:20,,,Ivar Christenson,
Front roll,forward roll,roll,,,,https://youtu.be/USInCiWooy0?si=3zeavMeRkBZWcOWv&t=103,1:43,,,Emile Mathieu,
Full Out Back flip,full out back,"spin, flip",full out flip with backwards wheel rotation,,,,,"Full out spin, back crank flip",out back flip,Emile Mathieu,
Full out backside back flip,,"wrap, spin, flip",Full out side back flip + backside,,,,,Full out backside spin,,Emile Mathieu,
Full out backside flip,,"wrap, spin, flip",Full out backside + crankflip,Adrien Delecroix,2008,,,Full out backside spin,,Adrien Delecroix,
Full out backside kickflip,,"wrap, spin, flip",Full out backside + kick flip,Tim Desmet,,https://www.youtube.com/watch?v=wHVQ8GLEq-w,2:43,Full out backside spin,,Tim Desmet,
Full out backside middle flip,,"wrap, spin, flip","out backside spin, overflip, in spin, land back on pedals",,,https://youtu.be/7L2Fq0ITeXU?feature=shared&t=318,5:18,out backside overflip,,Trey Haun,in the video (see link) Scotty and Levi both do this trick between 5:18 and 5:46
Full out backside spin,,,"Starting seat in, a 360 unispin + backside (360 spins out from behind your leg, the leg wrap and spin are going in the same direction)",,,,,Full out spin,,Trey Haun,
Full Out Flip,,"spin, flip",Full out spin + flip,,,,,"full out spin, crank flip",,Emile Mathieu,
Full out middle flip,,"spin, flip","outspin, overflip, in spin, land back on pedals",,,,,,,,
Full out side double flip,,"wrap, spin, flip",Full out side spin + double flip,,,,,Full out side flip,,Emile Mathieu,
Full out side flip,,"wrap, spin, flip",Full out side spin + flip,,,,,Full out side spin,,Emile Mathieu,
Full out side spin,,"wrap, spin","360 side spin starting seat in, ending seat in",,,,,360 side spin,,Trey Haun,
Full Out Spin,,"spin, flip","360 unispin starting seat in, ending seat in",,,,,360 unispin,,Emile Mathieu,
Full Varial Back Flip,full varial back,"spin, flip",Full Varial Flip with backwards wheel rotation,Hugo Duguay,,,,Full varial flip,,Emile Mathieu,
Full Varial Flip,,"twist, spin, flip",Full out flip + 180 twist,Shaun Johanneson,,,,Full varial spin,,Emile Mathieu,
Full varial spin,,,,,,,,,,Nakul Mohakar,
Full X Up,,spin,"jump off pedals, spin unicycle 360 degrees, spin 360 opposite direction, land back on pedals",Eli Brill,,,,X Up,,Trey Haun,
Full X Up Under Double,,"spin, flip","jump off pedals, spin unicycle 360 degrees, kick the back pedal to complete 2 full back revolutions (under double flip), spin 360 degrees in the opposite direction, land back on pedals ",Jack Sebben,,,,,,Jack Sebben,
Gliding,,"walk, glide",One foot wheel walk with enough speed that the tire glides under the rider's foot,,,,,,,Emile Mathieu,
Goodnight Combo,,combo,360 unispin / rolling wrap / backstepover roll / foot change / varial roll / foot change / rolling wrap / back inward varial roll / back x roll / 360 unispin / inward varial roll / 540 unispin,Krisz Kovacs,,https://www.youtube.com/watch?v=yuE4xmBNk5g,,,,Trey Haun,"THIS IS ONE EXCEPTION BECAUSE THIS IS SUCH A FAMOUS AND STANDARDIZED COMBO. OTHER THAN THIS, NO COMBOS SHOULD BE ADDED TO THE TRICKTIONARY"
Grind,,grind,pedal/crank/bearing cap/frame slides on an object other than the ground (generally pedal and/or crank),,,,,,,Noli Ergas,
Half Cab,,twist,fakie 180 twist,,,,,180 twist,,Noli Ergas,
Hand Back flip (seat in),,flip,"seat in no footer, hand initiates one backwards wheel rotation either by grabbing or slapping the tire, feet land on pedals.",,,https://www.youtube.com/watch?v=s-XI3Yw3rqg,,hand flip,,Trey Haun,
Hand Back flip (seat out),,flip,"seat out no footer, hand initiates tire rotation, wheel does one backwards rotation, feet land on pedals. This version is done seat out, with the free hand grabbing the tire just behind the crown of the frame. See Hot Dog flip for a more advanced version of this trick. ",,,,,,,Trey Haun,
Hand Flip,,flip,"seat in no footer, hand initiates tire rotation (usually by slapping the tire, not grabbing), wheel does one forward rotation, feet land on pedals",,,https://www.youtube.com/watch?v=GQ6tMZhH6LI,,no footer tire grab,,Noli Ergas,
Hand outflip,,"flip, spin","no footer, hand initiates tire rotation, wheel does one forward rotation + outspin, feet land on pedals",,,https://youtu.be/t-mYZAlbiF8?feature=shared&t=33,0:33,Hand Flip,,Trey Haun,
Hand fulloutflip,,"flip, spin","no footer, hand initiates tire rotation, wheel does one forward rotation + a fulloutspin , feet land on pedals",Edmund Leduc,,,,Hand outflip,,Loïc Miara,
hand plant,,basic,When a rider used his hand to jump or push themselves,,,,,,,Emile Mathieu,
Hand Wheel Walk,,walk,"Wheel is pushed with the hands, while feet are either on the frame or extended",,,,,,,,
Handrail Grind,,grind,"wheel leaves ground, pedal or crank lands on a handrail (in a real urban environment, i.e. not a skatepark), pedal/crank slides down the rail",Dan Heaton,,https://www.youtube.com/watch?v=tAM2s-cgiqk,0:38,,,Noli Ergas,
Hard Slide,,grind,grind with cranks vertical such that only a small part of the upward-facing crank near the axle is in contact with the obstacle,Christian Huriwai,,,,,,Noli Ergas,
Haunster Backflip,Back Pedal Finger back flip,"flip, pedal push","no footer, push back pedal down with free hand to initiate back crankflip",Trey Haun,2025,https://youtu.be/Z5mJmUUEMZQ?si=SRRFLb1aDBDmeIVp&t=65,1:05,,,Trey Haun,
Haunster Flip,Back Pedal Finger Flip,"flip, pedal push","no footer, then grab the back pedal with your hand and pull it forward to initiate a crankflip, land back on pedals/cranks with seat out",Trey Haun,2024,https://www.youtube.com/watch?v=pn55R5XyFV0,,,,Trey Haun,first landed at UniCon 21
Haunster Inflip,Back Pedal Finger Inflip,"spin, flip, pedal push","haunster flip followed by an inspin (no footer, then grab back pedal and pull up to initiate a crankflip, then inspin)",Trey Haun,2024,https://youtu.be/8d80Y1gmkPE?feature=shared&t=99,1:39,Haunster flip,,Trey Haun,
Haunster Hot Dog Flip,,"flip, pedal push","haunster flip but you reach behind your back leg (no footer, then hand reaches behind back leg to grab back pedal, pull the pedal forward to initiate a crankflip)",Trey Haun,2024,https://youtu.be/8d80Y1gmkPE?feature=shared&t=19,0:20,Haunster flip,,Trey Haun,
Hick antiside flip,,"spin, flip, wrap",180 antiside spin + crank flip,,,,,,,,
Hick Back kick flip,hick back kick,"spin, flip",180 unispin while kicking the tire to do a back flip,,,,,180 unispin,,Trey Haun,
Hick Back Stutter Flip,,"spin, flip",hick back + overflip,Jack Sebben,Circa 2015-2016,,,,,Jack Sebben,
Hick Double Flip,,"spin, flip",180 unispin + double flip starting seat in front,Shaun Johanneson,,,,hick flip,,Noli Ergas,
Hick Flip,"hick, inflip","spin, flip",180 unispin + crank flip starting and ending seat in front,Shaun Johanneson(CHECK NOTE),,http://www.relentlessbyfate.com/tricks.php,,"180 unispin, crank flip",,Emile Mathieu,"Shaun Johanneson landed the trick first, but after a friendly competition Kelly Hickman did it down a bigger set of stairs and Shaun named the trick after Kelly Hickman. http://www.unicyclist.com/forums/showpost.php?p=810125&postcount=7"
Hick Kick Flip,Kick Flip,"spin, flip",Hickflip but the wheel rotation speed is produced by a kick of the tire,,,,,180 unispin,,Emile Mathieu,
Hick over flip,hick over,"spin, flip",180 unispin + overflip,,,,,"180 unispin, over flip",,Emile Mathieu,
Hick Quad Flip,,"spin, flip",180 unispin + quad flip starting seat in front,,,,,Hick Triple Flip,,Noli Ergas,
Hick Quint Flip,,"spin, flip",180 unispin + quint flip starting seat in front,Krisz Kovacs,,https://www.youtube.com/watch?v=oSgzMJP_SDY,,Hick Quad Flip,,Noli Ergas,
Hick Side Flip,,"spin, flip, wrap",180 side spin + crankflip,,,,,180 Side Spin,,Trey Haun,
Hick Side Double Flip,,"spin, flip, wrap",180 side spin + double flip,,,,,Hick Side Flip,,Trey Haun,
Hick Side Triple Flip,,"spin, flip, wrap",180 side spin + triple flip,,,,,Hick Side Double Flip,,Trey Haun,
Hick Side Quad Flip,hick side quad,"spin, flip, wrap",180 side spin + quad flip,Christian Resch?,,https://youtu.be/MUA-NvOyHyE?feature=shared&t=99,,Hick Side Triple Flip,,Trey Haun,
Hick Stutter Flip,,"spin, flip",hick flip + underflip,Jack Sebben,Circa 2015-2016,,,"Hick flip, underflip",,Jack Sebben,
Hick Triple Flip,,"spin, flip",180 unispin + triple flip starting seat in front,,,,,Hick Double Flip,,Noli Ergas,
Hick Under Flip,hick under,"spin, flip",180 unispin + underflip,,,,,"180 unispin, under flip",,Emile Mathieu,
Hop,,basic,tire leaves ground with rider on unicycle,,,,,,,Noli Ergas,
Hop on Wheel,"HOW, Hop On Tire",basic,"Hopping with the unicycle perpendicular to the rider, both feet on the tire, holding the seat",,,,,,,Emile Mathieu,
Hop Over Rail Grind,grind to hop over rail,grind,grind where rider exits grind by hopping over the rail and riding out on the other side,,,,,,,Noli Ergas,
Hot Dog Flip,glizzy flip,flip,"starting seat out, hop off pedals, hand reaches behind front leg, grabs tire, and initiates a backflip, land back on pedals/cranks seat out",Eli Brill,,https://www.skrrrt.io/games/rius/sets/45,,Hand back flip,,Trey Haun,
Huge flip,fifth varial flip,"twist, spin, flip",Huge spin + flip,,,,,"Huge spin, crank flip",,Emile Mathieu,
Huge Spin,,"twist, spin",540 unispin + 180 body varial in the same direction,,,,,Big spin,,Emile Mathieu,
Idling,,basic,staying in once place by moving the wheel back and forth less than one revolution,,,,,,,Noli Ergas,
In fifth Over flip,in fifth over,"spin, flip",a 540 inspin followed by an overflip,Stéphane Ranc,,,,Trey over flip,,Trey Haun,
In Over Out Flip,,"spin, flip","inspin, overflip, outspin",Michael Bachleda OR Manuel Vetter?,,,,x up over flip,,Trey Haun,
inside crank jam,crank jam,jam,"When the rider jams his foot on the crank, with the inside of his foot towards the frame",,,,,,,Emile Mathieu,
inside jam,,jam,"When the rider jams his foot on the tire, with the inside of his foot towards the frame",,,,,,,Emile Mathieu,
Inward Big Spin,inward big,"spin, varial",360 unispin + 180 body varial in opposite directions,,,,,inward small spin,,Emile Mathieu,
Inward rolling wrap,,roll,"when in a normal rollingwrap the seat starts its way around your two legs by going out in the front, the inward starts by going out back like it was a backsidespin, wraps then, in the oposite direction as a none inward starting on the same foot, around both of your legs and back in under your butt, unless you keep lining them in wich case it ends up being the same thing as lining switch rollingwraps",,,,,,,Ivar Christenson,
Inward Small double flip,,"spin, flip, varial",Inward small flip with 2 wheel rotation,,,,,inward small flip,,Emile Mathieu,
Inward Small Flip,inward small,"spin, flip, varial",Inward small spin + flip,,,,,"inward small spin, crank flip",,Emile Mathieu,
Inward small side double flip,,"spin, wrap, flip, varial",Inward small side flip with 2 wheel rotation,,,,,Inward small side flip,,Trey Haun,
Inward small side flip,inward small side,"spin, wrap, flip, varial",Inward small spin + side + flip,,,,,"inward small side spin, crank flip",,Emile Mathieu,
Inward small side quadflip,inward small side quad,"spin, wrap, flip, varial",Inward small side flip with 4 wheel rotations,Michael Bachleda,,,,Inward small side triple flip,,Loïc Miara,small and quad are not words that go together
Inward small side spin,inward small side,"spin, wrap, varial",Inward small spin + side (360 side spin + body varial in opposite direction),Spencer Hochberg,2007,https://youtu.be/vuTSJsCsdf4?t=1m30s,,"360 side spin, inward small spin",,Spencer Hochberg,
Inward small side triple flip,,"spin, wrap, flip, varial",Inward small side flip with 3 wheel rotations,,,,,Inward small side double flip,,Trey Haun,
Inward Small Spin,inward small,"spin, wrap, varial",360 unispin + 180 body varial in opposite directions (uni spins 180 degrees relative to ground),,,,,Body varial,,Emile Mathieu,
Inward Small triple flip,,"spin, flip, varial",Inward small flip with 3 wheel rotation,,,,,Inward small double flip,,Emile Mathieu,
inward varial spin,,"spin, varial",inward small spin from seat in (a fullout spin with a body varial in the opposite direction),,,,,inward small spin,,Trey Haun,
inward varial back flip,inward varial back,"spin, flip",inward varial flip with backwards wheel rotation,,,,,Inward varial spin,,Emile Mathieu,
inward varial double flip,inward varial double,"varial, spin, flip",Inward varial flip with 2 wheel rotation,,,,,Inward varial flip,,Emile Mathieu,
