Trick Name,"Alternate
Seat grab,,basic,"lands on a object with the saddle, so it supports the rider, like a pedal or crank grab",Elias Pöham,,https://www.youtube.com/watch?v=hw7AJ3DH70k,1:52,,,Joe Smotherman,
Seat In,SI,prefix,"the seat is ""in"" between the rider's legs",,,,,,,Emile Mathieu,
Seat In Back,SIB,prefix,seat in behind; seat not between the riders' legs,,,,,,,Emile Mathieu,
Seat In Front,,prefix,"trick that initiates with the seat in front of the rider, not between the rider's legs",,,,,,,Noli Ergas,
Seat In Front Hop,,basic,hop with the seat in front of the rider,,,,,,,Noli Ergas,
Seat Out,"Seat in Front, SIF",prefix,seat is in front; seat is NOT in between the rider's legs,,,,,,,Emile Mathieu,
Seat pivot,,Pirouette,Only seat is in ground and you spin,,,,,,,Ivar Christenson,
Seat push,Drag seat in front,basic,Riding with the seat being pushed on the ground in front of you,,,,,,,,
Seat Whip,Whip,whip,"When the seat(and frame) whips around the wheel, forward or back (the wheel is not rotating)",,,https://www.youtube.com/watch?v=OesxG6dY8MQ,,,,Trey Haun,
Seat Whip Crank Grab,,whip,"When the seat(and frame) whips around the wheel, forward or back, while one or both of the cranks are on an obstacle",Dan Heaton,,https://www.youtube.com/watch?v=tAM2s-cgiqk,1:14,,,Noli Ergas,Dan Heaton landed this from crank grab
Seat Whip Grind,,"grind, whip",grind with a seat whip done mid-grind while the cranks stays in contact with the ledge/rail,Matty Porter,,https://www.youtube.com/watch?v=IKP8G4K7xnA,2:48,,,Noli Ergas,
Seat Wrap,,wrap,leg around (leg 1) to seat in back to leg around (leg 2),,,,,,,Emile Mathieu,
Secret Side,,"spin, wrap","unispin where seat of the unicycle wraps around behind both legs (to the side, behind, other side, and back in front). Basically, a sidespin followed by a backside spin, in the same jump",Krisz Kovacs,,,,,,Trey Haun,
Secret side flip,,"wrap, flip",secret side jump + crank flip,,,,,,,Trey Haun,
Secret side jump,,wrap,"jump off pedals, seat wraps around one leg, behind both legs, back in front (no spin of seat)",Mario Bel,,,,,,Trey Haun,
Sej double flip,Seventh Double flip,"spin, flip",720 unispin + double flip,Felix Aspalter,,https://www.youtube.com/watch?v=w_cO5c0sjLE,,sej flip,,Emile Mathieu,
Sej flip,Seventh Flip,"spin, flip",720 unispin + crank flip,Shaun Johanneson,,,,fifth flip,,Emile Mathieu,"Shaun Johanneson landed it first and named it SEJ flips. It stands for Shaun Eric Johanneson flip. Although it was clearly done by Shaun first and he clearly stated the name of the tricks, some riders insist on calling the trick seventh flip."
Sej quad flip,Seventh Quad Flip,"Spin, Flip",720 unispin + quad flip,Colby Thomas,,https://www.youtube.com/watch?v=Q7TkW3YBLxI,1:18,sej triple flip,,Emile Mathieu,
sej triple flip,Seventh Triple Flip,"Spin, Flip",720 Unispin + triple crankflip,Colby Thomas,,https://youtu.be/C8zBHl7i_dg,1:00,sej double flip,,Michael Bachleda,
sej secret side flip,seventh secret side,"spin, flip, wrap",720 secret side + crank flip,,,https://youtu.be/1ZUtTN5lwyQ?feature=shared&t=218,3:38,fifth secret side flip,,Trey Haun,
sej side flip,seventh side flip,"spin, flip, wrap",720 side spin + crank flip,,,https://youtu.be/eYGtxf5dkLI?feature=shared&t=58,0:58,fifth side flip,720 side spin,Trey Haun,
Sej side double flip,sej side double,"spin, flip, wrap",720 side spin + double flip,Stephane Ranc,,https://www.youtube.com/shorts/myKr9irF8v4,,sej side flip,,Trey Haun,
Sex Change,,"varial, flip",body varial + crank flip,Shaun Johanneson,,http://www.relentlessbyfate.com/tricks.php,,hick flip,,Emile Mathieu,This trick has a weird name as it's a flip trick but does not finish with the word flip
sex change back flip,sex change back,"varial, flip",Sex change with backwards wheel rotation,,,,,hick back flip,,Emile Mathieu,
Sex Change Double Flip,,"varial, flip",body varial + double flip,,,,,sex change,,Emile Mathieu,
Sex change kick flip,,"spin, flip",Sex Change but the wheel rotation speed is produced by a kick of the tire,,,,,hick kick flip,,Emile Mathieu,
Sex Change Triple Flip,,"varial, flip",body varial + triple flip,,,,,sex change double flip,,Emile Mathieu,
Sext flip,,flip,"Hop, cranks flip for 6 revolutions, land",Kevin Gaudillère,,,,quint flip,,Loïc Miara,Done off of a ledge
Shiftie,,basic,hop where the wheel is twisted perpendicular to the direction of travel in mid-air and returned to the plane of travel upon landing,,,,,,,Noli Ergas,
Side,,prefix,both legs of rider are on one side of the unicycle during or at some point duirng the trick,,,,,,,Noli Ergas,
Side coast,,coast,"hands on saddle, feet in air, side of body facing the direction coast is traveling",,,,,,,Ivar Christenson,
Side Double Flip,,"wrap, flip",side jump + double crank flip,,,,,side flip,,Emile Mathieu,
Side Flip,,"wrap, flip",side jump + crank flip,,,,,"side jump, crank flip",,Noli Ergas,
Side Hop,,basic,"Hopping with one foot on the opposite pedal. The other leg is crossed behind you on the tire, or ext.",,,,,,,,
Side Jump,,wrap,"both feet leave pedals, one leg wraps around seat, feet land on pedals",,,,,leg wrap,,Noli Ergas,
Side Jump Mount,,"mount, wrap",,,,,,jump mount,,,
Side Mount,"Ladies mount, leg around mount",mount,"one feet on pedal in lowest position, step up and move leg via the front of your seat to the other pedal",,,https://youtu.be/XZcMi30vvAg?si=LYjCK70LuM4oJwXe,,,,,
Side Quad Flip,in-in side quad,"wrap, flip",quad flip + side jump,Levi Prindle,,https://youtu.be/Z5mJmUUEMZQ?si=-82Bq-ZWcrXHfxwp&t=179,2:59,side triple flip,,Trey Haun,
Side Ride,,Ride,on the side of unicycle riding one foot (with foot that is closest to the wheel) ,,,,,,,Ivar Christenson,
Side Triple Flip,,"wrap, flip",side jump + triple crank flip,Stereim (real name?),,,,side double flip,,Emile Mathieu,
Sideways Wheel Walk,"side walk, crab walk",Walk,"Standing on the tire, unicycle perpendicular to the rider, wheel walk",,,,,,,Emile Mathieu,
Small flip,,"twist, spin, flip",Small spin + flip,,,,,"small spin, crank flip",,Emile Mathieu,
Small side flip,,"twist, spin, flip",Small side spin + flip,,,,,"small side spin, crank flip",,Emile Mathieu,
Small side spin,,"twist, spin",Small spin + side,,,,,"180 side spin, 180 body varial",,Emile Mathieu,
Small Spin,,"twist, spin",180 unispin + 180 body varial in the same direction,,,,,"180 unispin, 180 body varial",,Emile Mathieu,
Smiley Walk,,walk,"Seat in back wheel walk, while supporting your weight in your arms",Ryan Woessner,,,,,,August Agerskov,
Spencer Flip,,"bc wheel, flip","On BC wheel, start riding upstairs, jump off the platforms, and land back on them after they've flipped down to the normal position",Spencer Hochberg,,,,Upstairs,,Nick Braun,
Stand up backwards wheel walk,Stand up koosh,walk,Standing on the frame while one foot pushes you backwards (the foot is behind the frame),,,,,,,Emile Mathieu,
Stand up gliding,,"walk, coast",Stand up wheel walk with enough speed that the tire glides underneath the rider's foot,,,,,,,Emile Mathieu,
Stand up wheel walk,Stand up,walk,Standing on the frame while one foot pushes you forwards (the foot is in front of the frame),,,,,,,Emile Mathieu,
Static,,prefix,indicates trick begins from a static position (i.e. the unicycle is not rolling forwards or backwards),,,,,,,Noli Ergas,
Static Trey Quad,,"flip, spin",360 unspin + Quad Crankflip (from static position),Jack Sebben,2023,,,Static Trey Triple,,Jack Sebben,
steeze coast,,coast,A coast started from the steeze jam position,,,,,steeze jam,,Emile Mathieu,
Steeze Hands,,wild,"placing the hands behind the head upon the completion of a trick, hence increasing the level of steaze",,,,,,,Noli Ergas,
steeze jam,,jam,Basically an outside jam with 2 feet,,,,,outside jam,,Emile Mathieu,
Stillstand,,"basic, balance",staying in one place on the unicycle without idling or hopping,,,,,,,Noli Ergas,
Stomach balance,,"balance, position","saddle on your stomach hip or thighs, stay in balance sideways using your hands on the wheel and front to back by having your whole body doing like the arms in a normal stillstand",,,https://youtu.be/K4F-z7ZJky4,1:15,,,Ivar Christenson,
Storm Roll,,"roll, stepover","Begin in outside roll position. After the first push (one half rev roll forward), with the seat in front of you, twist your body away from the unicycle in a 180 body varial and place your back foot on the other crank in the inside position. Then use your front foot and brace it against the tire while you continue the body varial to make it 360. during this transition you switch your back foot around on the same crank to be in the outside roll position. Then finish the roll by moving the last half rev forward on your back foot. Whew. That's a long description. Intimidated yet?",Nathan Miyachi,,https://www.youtube.com/watch?v=2Rk84MWNzrk,0:00,,,Trey Haun,"Don't worry, it's even harder than the description makes it seem"
Stutter 360 backrev,,"twist, rev",180 backrev to late 180,Kosma Roy,,,,"back rev, 360 Twist",,Loïc Miara,
Stutterbackflip,,flip,Backflip + underflip,,,,,"back crank flip, under flip",,Jelle Dillen,
Stutter Flip,,flip,Crankflip + Over Flip,,,,,"crank flip, over flip",,Noli Ergas,
Stutter Grind,,grind,grind where pedal/crank leaves obstacle mid-grind and then lands back on obstacle to continue grind,,,,,,,Noli Ergas,
Stutter rev,,rev,Rev + late rev,Loïc Miara,,,,rev,,Loïc Miara,
Suicide Mount,,mount,"unicycle is balanced on ground, rider removes hands and feet from unicycle, riders jumps onto unicycle",,,,,Jump mount,,Noli Ergas,
Suicide Spin,YouTube friendly name: Super-Side Spin,"spin, wrap","unispin where the seat comes out from behind one leg, wraps around in front of both legs, and around the other leg (Basically, a backside spin followed by a side spin, in the same jump)",Eli Brill,,https://youtu.be/h4T3ox4W-mM?si=HncN6S1XJ2c1MZq_&t=263,4:23,fullout backside spin ,360 side spin,Trey Haun,
Super Roll,Super Rolling Wrap,roll,Leg wrap to rolling wrap to leg wrap,,,,,"rolling wrap, leg wrap",,Trey Haun,
Superman,,wild,"one hand holds seat and other hand holds tire while legs are kicked out backwards, creating a horizontal body position like Superman flying",,,https://www.youtube.com/watch?v=o_YgfuT6I2g,0:23,,,Noli Ergas,kick legs higher for extra style points
Switch,,prefix,With the less comfortable foot forward or hand on the seat (used by itself usually refers to foot position),,,,,,,Noli Ergas,
Switch Foot,switch,prefix,When the rider's less comfortable foot is in front,,,,,,,Emile Mathieu,
Switch hand,,prefix,When the rider's less comfortable hand is used,,,,,,,Emile Mathieu,
Switcheroo Grind,,grind,"rider jumps from normal foot position, does a half rotation, grinds in a switch foot position ",,,,,,,Noli Ergas,
Swivel Grind,,grind,"pedal grind where wheel does one full revolution during grind, generally by pumping the unicycle with the hand holding the handle",Pele Schramm,,,,,,Noli Ergas,
Swivel Rewind,,grind,"grind where wheel rotates one direction, then rotates the opposite direction during the grind",Pele Schramm,,https://www.youtube.com/watch?v=OZ6P-qRUPuU,3:08,,,Noli Ergas,
Swivel Rewind Replay,,grind,"grind where wheel rotates one direction, then rotates the opposite direction, then rotates the original direction during the grind",Noli Ergas,,https://www.youtube.com/watch?v=OZ6P-qRUPuU,3:13,,,Noli Ergas,
Tenth Flip,"X flip, Tenth flip, 10 flip","flip, spin",1080 unispin + crank flip,Eli Brill,2017,https://www.youtube.com/watch?v=UhVM_cV1XiU&t=142s,3:30,ninth flip,1080 unispin,Emile Mathieu,
Tenth Side Flip,"Tenth side, 10 side flip","spin, wrap, flip",1080 side spin + crank flip,Michael Bachleda,2023,Tenth Side & Out Fifth Quad,,Ninth side flip,1080 side spin,Trey Haun,
Tic Out-Tac,,flip,half crankflip + switch under out half flip,Jack Sebben,2014,,,,,Jack Sebben,
Tic Tac,,flip,half crankflip + switch under half flip,,,,,,,Jack Sebben,
Tic Tac Double,,flip,half crankflip + switch under 1.5 flip,Jack Sebben,Circa 2013-2014,,,Tic Tac,,Jack Sebben,
Tic Double Tac,,flip,1.5 crankflip + switch under half flip,Jack Sebben,2013,,,"double flip, Tic Tac",,Jack Sebben,
Tico Tico,,grab,pedal grab to pedal grab,,,,,,,Emile Mathieu,
Tic X Tac,,flip,hick half flip + switch over hick half flip (spinning in opposite direction),Jack Sebben,2015,,,"Tic Tac, hickflip, switch flip",,Jack Sebben,
Tiger flip,out anti backside flip,"flip, spin, wrap",,Dan Colvin? Josef Sjonneby?,,,,anti backside spin,out backside flip,Trey Haun,
Tire grab,,basic,Grabing the front of the tire with the hand during a hop,,,,,,,Emile Mathieu,
Tire grab body varial,"Dan Heaton, DH",handstepover,grabbing unicycle by the tire (and optionally also frame) and doing a 180 body varial,Dan Heaton,,,,,,Emile Mathieu,
Tire Grab Grind,,grind,grind + tire grab,,,,,tire grab,,Noli Ergas,
Toeslide,,Prefix,"Sliding the tip of your foot/feet over the ground or preferebly floor in stuff like onefootrides, forward scuffs, nopushrolls, seat pirouettes, etc",,,https://youtu.be/EdgwfYS_EtI,0:25,,,Ivar Christenson,
Travolta,X up 630/270,wild,"Jump up, spin 630 degrees, catch the seat in the air, pull it back the other way 270° degrees, land back on pedals. You can't do it. Why even try.",Eli Brill,,https://www.youtube.com/watch?v=FmjAEJlI5Lw,,X up,,Trey Haun,
Trey antiside flip,,"spin, wrap, flip",360 antiside spin + crank flip,,,https://youtu.be/8d80Y1gmkPE?feature=shared&t=45,0:46,"360 antiside spin, trey flip",antiside flip,Trey Haun,
Trey Double Flip,,"spin, flip",360 unispin + double flip,Loic Baud,2007,https://www.youtube.com/watch?v=mey-PwBnQu8,0:37,Trey flip,,Adrien Delecroix,
Trey Flip,,"spin, flip",360 unispin + crank flip,Shaun Johanneson,,http://www.relentlessbyfate.com/tricks.php,,"Hick Flip, 360 unispin",,Emile Mathieu,
Trey flip under flip,"Trey underflip, treyunder","spin, flip",Trey flip + under flip,Christian Brink,,https://www.youtube.com/watch?v=h3XYvIlFOw8,,trey under flip,,,
Trey flip under outflip,,"spin, flip",trey flip + underflip + 180 unispin (opposite direction),Kevin Gaudilliere,,,,trey under outflip,,Jelle Dillen,
Trey kick flip,trey kick,"spin, flip",Treyflip but the wheel rotation speed is produced by a kick of the tire,,,,,hick kick flip,,Emile Mathieu,
Trey back kick flip,trey back kick,"spin, flip",Trey back flip but the wheel rotation is produced by a kick of the tire,,,,,hick back kick flip,,Trey Haun,
Trey middleflip,,"spin, flip",180 unispin + overflip +180 unispin,,,,,hick over flip,,Jelle Dillen,
Trey over double flip,trey over double,"spin, flip",360 unispn + over double flip,Maxime Peabody,,,,trey over flip,,Emile Mathieu,
Trey over flip,trey over,"spin, flip",360 Unispin + overflip,,,,,"360 unispin, over flip",,Emile Mathieu,"The naming convention of overflips don't make sense as it doesn't describe the trick directly, but it is generally accepted that a trey over flip is 360 unispin + over flip. When you want to specify a flip in the first part of the trick, simply add ""flip"". Eg Trey flip underflip = trey flip + underflip."
Trey Quad Flip,,"spin, flip",360 unispin + quad flip,Krisz Kovacs,,https://www.youtube.com/watch?v=CL5MYScWZSw,0:33,trey triple flip,,Emile Mathieu,
Trey Quint Flip,,"spin, flip",360 unispin + quint flip,Michael Bachleda,,https://youtu.be/JvWZOhl9dQA,2:25,trey quad flip,,Michael Bachleda ,
Trey side double flip,trey side double,"spin, wrap, flip",Trey side flip with 2 rotations of the wheel,,,,,trey side flip,,Emile Mathieu,
Trey side flip,,"spin, wrap, flip",360 side spin + flip,Luke Collalto,,,,"360 side spin, crank flip",trey flip,Emile Mathieu,
Trey side overflip,,"spin, wrap, flip",360 side spin + overflip,,,https://youtu.be/eYGtxf5dkLI?feature=shared&t=107,1:47,trey over flip,360 side spin,Jelle Dillen,
Trey side quad flip,trey side quad,"spin, wrap, flip",Trey side flip with 4 rotations of the wheel,Adrien Delecroix,,,,trey side triple flip,,Adrien Delecroix,
Trey side triple flip,trey side triple,"spin, wrap, flip",Trey side flip with 3 rotations of the wheel,Loïc Baud,2008,,,trey side double flip,,Adrien Delecroix,
Trey side underflip,,"spin, wrap, flip",360 sidespin + underflip,Stéphane Ranc,,,,trey under flip,360 side spin,Trey Haun,
Trey Triple Flip,,"spin, flip",360 unispin + triple flip,Adrien Delecroix,2008,,,trey double flip,,Adrien Delecroix,
Trey Under Double Flip,Trey Under Double,"spin, flip",360 Unispin + under double flip ,Christian Brink,2017,https://youtu.be/IH2GCNMNbjo,0:45,Trey under flip,,Michael Bachleda,
Trey Under Flip,"trey under, 360underflip, 3spin underflip","spin, flip",360 unispin + underflip,,,,,"360 unispin, under flip",,Emile Mathieu,
Trey under outflip,trey under out,"spin, flip",360 unispin + underflip + 180 unispin (opposite direction),,,https://youtu.be/eYGtxf5dkLI?feature=shared&t=111,1:52,trey under flip,,Jelle Dillen,
Trey under trey,,"spin, flip",360 unispin + underflip + 360 unispin in opposite direction,Manuel Vetter?,,https://youtu.be/PBRoMz2caY4?feature=shared&t=41,0:41,trey under outflip,,Trey Haun,
Triple Back Flip,,flip,"feet leave pedals, wheel does 3 rotations backwards, feet land on pedals",Mike Swarbrick,,,,double back flip,,Noli Ergas,
Triple Flip,Triple,flip,crank flip where wheel does 3 revolutions forward,Shaun Johannson,,https://www.youtube.com/watch?v=XKmh-BYLsWE,,double flip,,Emile Mathieu,
Triple Leg Wrap,,wrap,,,,,,,,,
Triple Rev,,rev,"wheel leaves ground, feet pedal the wheel through 3 revolutions, wheel lands on ground",Loïc Miara,,,,double rev,,Emile Mathieu,
Triple Swivel Grind,,grind,pedal grind where wheel does 3 full revolutions during grind,Noli Ergas,,https://www.youtube.com/watch?v=OZ6P-qRUPuU,1:48,,,Noli Ergas,
Under Flip,Thunder Flip?,flip,"feet leave the pedals, while the unicycle wheel is in mid-air, the rider's back foot kicks the backward pedal causing the wheel to do one backward revolution, feet land on pedals",,,,,no footer,,Noli Ergas,
Under Double Flip,under double,flip,"jump off pedals, then kick the back pedal with your back foot so that the wheel flips backward twice, then land back on pedals",,,,,under flip,,Trey Haun,
Uni front roll,Uni somersault,,"to do a front roll (gymnastics) with uni, ride, dive forward, roll on back, when the wheel hits the ground use momentum to return to upright, ride",,,,,,,Joe Smotherman,
Uni Transfer,,wild,jumping from one unicycle to another,,,,,,,Noli Ergas,
Uni Whip,,whip,When the whole unicycle flips (forward or back) on its vertical axis,, ,,,,,Emile Mathieu,
Uni-Somersault,Front flip,wild,"Launch into air, become upside down, become rightside up again, land on ground, keep riding",Adrien Delecroix,2011,,,,,Max Schulze,"Only landed by a handful of riders. Adrien Delecroix, Max Schulze, Emile Mathieu, Tim Desmet and Nicolas Potier"
Upstairs,,bc wheel,"On a BC wheel, ride on the bottoms of the platforms, while they are flipped up from their normal position",Spencer Hochberg?,,,,,,Nick Braun,
Vanflip,,flip,"riding seat in, feet leave pedals, one foot comes forward and pushes the tire, wheel flips once, land back on pedals",,,https://youtu.be/aCg3z_Yk3Mc?feature=shared&t=168,,no footer,,Trey Haun,
Varial Double Flip,,"varial, spin, flip",Varial flip with 2 wheel rotation,,,,,varial flip,,Emile Mathieu,
Varial Flip,,"varial, spin, flip","From seat in, 180 unispin + 180 twist (body and unicycle spin in same direction) + flip",Sabin Arditty,,http://www.relentlessbyfate.com/tricks.php,,,,Emile Mathieu,
Varial Roll,,roll,"Half rev rolling forward on the inside, twist free foot so you open to your front, place on the empty crank and roll a half rev backwards on the outside",,,,,Push Mush,,Ivar Christenson,
Varial Triple Flip,,"varial, spin, flip",Varial flip with 3 wheel rotation,Krisz Kovacs,,,,varial double flip,,Emile Mathieu,
Walk the Dog,,coast,Jump with speed and lead the uni rolling on the ground until you fall down back on it,,,,,no footer,,Ivar Christenson,
wall plant,,plant,Foot plant or Tire plant on a straight or slanted wall,,,,,,,Emile Mathieu,
Wheel Walk,,walk,"both feet push forward alternately on the tire, propelling the unicycle forward",,,https://youtu.be/byf23VSm1EA?si=lhrr0sLyJicQrONz&t=101,1:41,,,Noli Ergas,
Wolfgang roll,,roll,"between outsiderolls you transition by passing the seat in front of you, and doing the crossing necessary for foot replacing on the side so that the new coming foot goes behind the leg you’re already standing on",,,,,x roll,,Jelle Dillen,
Worm Roll,,roll,"longer version of a levitationroll, rolling your whole leg towards the wheel instead of just the foot",Pablo Codes,2017,https://youtu.be/boW8afAefOk,0:51,,,Ivar Christenson,
Wrap Roll,,roll,a rolling wrap with an extra leg wrap after the first half roll,,,,,,,Trey Haun,
X roll,,roll,"half outsideroll, cross free foot in front of standing foot (front of saddle) when at the other crank, free the other foot and roll on the outside on the new standing side",,,,,Outside Push Mush,,Ivar Christenson,
X rolling wrap,,roll,"a forward x roll where the seat transition happens behind your back like in a rolling wrap, and your transitioning leg moves in front of the tire and the leg already standing on the crank",,,,,ludwig roll,,Trey Haun,
X Up,,spin,"hop, spin a 180 unispin that is reversed 180 degrees in the opposite direction, land on pedals",,,,,180 unispin,,Noli Ergas,
X Up 360,,spin,"hop, spin a 180 unispin, spin a 360 unispin in opposite direction, land on pedals",,,,,X Up,360 unispin,Trey Haun,
X Up 540,,spin,"hop, spin a 180 unispin, spin a 540 unispin in opposite direction, land on pedals",,,,,X Up 360,540 Unispin,Trey Haun,
X up over flip,x up over,"spin, flip","180, over flip, 180 opposite direction",,,,,X up,,Trey Haun,
X up under flip,x up under,"spin, flip","180, under flip, 180 opposite direction",,,,,X up,,Trey Haun,
Zero Flip,,flip,"foot plant on the floor/ground with one foot, wheel does one rotation in the air, both feet land on pedals",,,,,,,Noli Ergas,
Zero Plant,,basic,"foot plant on the floor, no obstacle",,,,,,,Emile Mathieu,